name,index year,overall score,property rights,freedom from corruption,fiscal freedom,government spending,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom
El Salvador ,1999,75.1,70,50,83.6,90.3,70,N/A,79.1,73,90,70
Equatorial Guinea,1999,45.1,10,10,89.3,81.4,55,N/A,66,54.4,30,10
Eritrea,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,1999,73.8,70,70,72.8,50.8,85,N/A,70.2,85,90,70
Ethiopia,1999,46.7,30,30,48.3,78.9,55,N/A,82.9,35,30,30
Fiji,1999,58.4,50,30,71.1,73,70,N/A,78.6,53,50,50
Finland,1999,63.9,90,95,38.4,0,70,N/A,88.6,73.2,70,50
France,1999,59.1,70,67,42.4,7.6,85,N/A,82.4,77.8,50,50
Gabon,1999,60.5,50,50,53.5,83.3,70,N/A,77.8,20,70,70
Georgia,1999,52.5,30,10,91.3,86.6,55,N/A,50.9,69,50,30
Germany,1999,65.6,90,82,38.3,24.1,70,N/A,86.6,79.4,70,50
Ghana,1999,57.9,50,50,73.2,73.5,55,N/A,57.4,61.6,50,50
Greece,1999,61,70,54,47.6,55.8,70,N/A,73.9,77.8,70,30
Guatemala ,1999,66.2,50,50,84,97.3,55,N/A,70.4,69,50,70
Guinea,1999,59.4,30,30,71.4,92.1,55,N/A,85,71,50,50
Guinea-Bissau,1999,33.5,10,10,65.5,65.9,40,N/A,40.6,29.4,30,10
Guyana,1999,53.3,50,30,58.3,54.6,55,N/A,80.5,51,50,50
Haiti,1999,45.9,10,10,78.4,97.2,40,N/A,55.8,61.8,30,30
Honduras ,1999,56.7,50,30,65.3,86.9,55,N/A,60.4,63,50,50
Hong Kong,1999,88.5,90,73,91.8,92.9,100,N/A,79.2,90,90,90
Hungary ,1999,59.6,70,52,62.6,12.8,70,N/A,66.3,63.2,70,70
Iceland,1999,71.4,90,90,60.5,43.5,70,N/A,86.4,81.8,70,50
India,1999,50.2,50,28,77.8,90.6,55,N/A,67.2,24,30,30
Indonesia,1999,61.5,50,27,80,95.4,55,N/A,73.3,73,70,30
Iran,1999,36.8,10,10,41.4,84,55,N/A,54.6,56,10,10
Iraq,1999,17.2,10,10,10,10.2,55,N/A,0,40,10,10
Ireland,1999,74.6,90,83,55.9,53,85,N/A,87.1,77.8,70,70
Israel,1999,68.3,70,80,52.9,28.8,85,N/A,75.3,83,90,50
Italy,1999,61.6,70,50,46.9,15.1,70,N/A,84.5,77.8,70,70
Jamaica ,1999,64.7,70,50,77.3,62.2,70,N/A,65.7,67,70,50
Japan,1999,69.1,90,66,53.9,59.8,85,N/A,88.2,79,50,50
Jordan,1999,67.4,70,49,76.2,67.7,70,N/A,77.7,56.2,70,70
Kazakhstan,1999,47.3,30,10,73.7,89.6,55,N/A,46.5,61,30,30
Kenya,1999,58.2,50,22,73.9,76.1,55,N/A,70.1,57,50,70
Kiribati,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kuwait,1999,69.5,90,70,99.9,40.6,85,N/A,82,78,30,50
Kyrgyz Republic ,1999,54.8,30,30,72.7,83.7,55,N/A,56.9,65,50,50
Laos,1999,35.2,10,10,32.5,85.7,40,N/A,52.1,66,10,10
Latvia,1999,64.2,50,30,77.1,56.7,70,N/A,72.9,81,70,70
Lebanon,1999,59.1,50,10,98,70,70,N/A,76.8,36.6,50,70
Lesotho,1999,48.2,50,30,61.9,30,55,N/A,66.2,61,50,30
Liberia,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Libya,1999,32.3,10,10,33.3,61.1,40,N/A,67.1,49,10,10
Liechtenstein,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1999,61.5,50,30,72.4,64.9,70,N/A,65.1,81,70,50
Luxembourg,1999,72.4,90,86,46.5,37.9,85,N/A,87.4,79,70,70
Macau,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macedonia,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madagascar,1999,52.8,50,30,74.8,90.5,70,N/A,72.8,27,30,30
Malawi,1999,54,50,30,69,84.3,55,N/A,59.8,38,50,50
Malaysia ,1999,68.9,70,50,79.4,84.7,85,N/A,79.1,72.2,50,50
Maldives,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mali,1999,58.4,50,10,48.3,82.9,70,N/A,79.8,65,70,50
Malta,1999,59.3,70,30,67.5,41.9,70,N/A,73.3,61,70,50
Mauritania,1999,42.8,30,30,50.7,73.4,55,N/A,71.1,15,50,10
Mauritius,1999,68.5,70,50,76,85.1,85,N/A,73.6,57,50,70
Mexico,1999,58.5,50,27,73.4,86.3,55,N/A,58.2,77,70,30
Micronesia,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moldova,1999,56.1,50,30,58.5,55.1,70,N/A,65.9,75,50,50
Mongolia,1999,58.6,50,50,63.8,61.1,55,N/A,62.1,85,50,50
Montenegro,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,1999,63.8,50,50,63.4,95.1,70,N/A,81.2,45,70,50
Mozambique ,1999,48.9,30,10,68,87.4,40,N/A,61.6,63,30,50
Namibia,1999,66.1,70,50,66.9,60.7,70,N/A,76.3,61,70,70
Nepal,1999,53.1,50,10,83,88.4,55,N/A,66.9,65,30,30
New Zealand,1999,81.7,90,92,66,58,85,N/A,86.8,77.4,90,90
Nicaragua ,1999,54,30,10,77.7,59.4,55,N/A,70,64.2,70,50
Niger,1999,48.6,50,10,46,95.8,55,N/A,72.1,48.4,30,30
Nigeria,1999,55.7,50,18,84.5,78.3,55,N/A,67.3,48.4,70,30
North Korea,1999,8.9,10,10,0,0,40,N/A,0,0,10,10
Norway,1999,68.6,90,89,57.9,27.4,70,N/A,80.5,82.4,70,50
Oman,1999,64.9,70,70,90.9,56,70,N/A,87.9,79,30,30
Pakistan ,1999,53,30,25,78.5,70.6,55,N/A,68.8,29,70,50
Panama ,1999,72.6,50,50,80.9,86.8,70,N/A,87.9,67.6,70,90
Papua New Guinea,1999,56.3,50,50,81.5,79.2,55,N/A,73.3,37.4,50,30
Paraguay ,1999,63.7,30,10,89.7,90.1,55,N/A,71.8,66.4,90,70
Peru,1999,69.2,70,30,80.2,91.3,70,N/A,75.5,66,70,70
Poland,1999,59.6,70,51,53.2,36,70,N/A,63.6,73,70,50
Portugal,1999,65.6,70,70,60.6,37.1,70,N/A,84.8,77.8,70,50
Qatar,1999,62,50,90,87.5,47.8,55,N/A,72.7,75,50,30
Republic of Congo ,1999,41.6,30,10,54.5,67.3,55,N/A,72.8,25,30,30
Romania,1999,50.1,30,34,45,65.1,55,N/A,27,74,70,50
Russia,1999,54.5,50,23,74.3,65.3,55,N/A,50.3,53.2,50,70
Rwanda,1999,39.8,10,10,67.3,85.1,40,N/A,66.8,39,30,10
Saint Lucia,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint Vincent and the Grenadines,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samoa,1999,58.7,50,70,64.5,36.8,70,N/A,75,62,50,50
Ṣo Tom̩ and Pr�_ncipe ,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saudi Arabia,1999,65.5,70,70,99.4,56.9,70,N/A,84.3,59,30,50
Senegal,1999,60.6,50,50,60.3,90.1,55,N/A,75.1,65,50,50
Serbia ,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seychelles,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sierra Leone,1999,47.2,30,10,52.1,90.7,55,N/A,58.2,49,50,30
Singapore,1999,86.9,90,87,82.7,93.4,100,N/A,86.4,83,90,70
Slovakia,1999,54.2,50,50,53,17.6,70,N/A,74,73,50,50
Slovenia,1999,61.3,70,50,52.4,39.5,70,N/A,70.8,59,70,70
Solomon Islands,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,1999,63.3,50,50,60.8,66.7,85,N/A,76.7,61,70,50
South Korea,1999,69.7,90,43,67.8,85.5,70,N/A,81.5,69.6,70,50
Spain,1999,65.1,70,59,46.5,42.7,70,N/A,79.7,77.8,70,70
Sri Lanka,1999,64,50,50,72.6,71.7,70,N/A,74,68,50,70
Sudan,1999,39.6,30,30,33,78.8,55,N/A,32.1,37,30,30
Suriname,1999,40.1,50,10,69.6,13.8,55,N/A,57.8,25,50,30
Swaziland,1999,62.1,70,30,63.2,72.8,70,N/A,72.2,61,70,50
Sweden,1999,64.2,70,94,35.4,0,70,N/A,89.3,79.4,70,70
Switzerland,1999,79.1,90,86,80.4,54.4,70,N/A,89.7,81.6,70,90
Syria,1999,39,30,10,39.2,76.5,55,N/A,72.1,27.8,30,10
Taiwan,1999,71.5,90,50,75.2,78.3,85,N/A,86.8,78,50,50
Tajikistan,1999,41.2,30,10,57.7,89.3,55,N/A,0,68.4,30,30
Tanzania,1999,60,50,30,77.3,92.5,55,N/A,67.8,67.8,50,50
Thailand ,1999,66.9,70,31,74.6,91.2,70,N/A,74.9,71.2,70,50
The Bahamas,1999,74.7,90,70,97.2,87.1,100,N/A,88.4,19.4,50,70
The Gambia,1999,52.1,70,10,70.5,72.5,55,N/A,74.5,56.4,30,30
The Netherlands,1999,70.2,90,90,37.1,26.2,70,N/A,80.7,77.8,70,90
The Philippines,1999,61.9,70,31,73.5,90.6,55,N/A,79.3,58.4,50,50
Timor-Leste,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Togo,1999,48.2,30,10,77.4,86.6,40,N/A,66.9,63,30,30
Tonga,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trinidad and Tobago,1999,72.4,90,50,68.1,79.1,70,N/A,82.8,51.6,90,70
Tunisia,1999,61.1,50,50,69.2,62,70,N/A,82.5,46.6,70,50
Turkey,1999,59.2,70,32,57,57.1,70,N/A,31.8,74.4,70,70
Turkmenistan,1999,36.1,30,10,57.5,92.3,55,N/A,0,40,30,10
Uganda,1999,64.8,70,27,80.8,92.1,85,N/A,83.1,25,70,50
Ukraine,1999,43.7,30,30,63,43,55,N/A,39.3,53,50,30
United Arab Emirates,1999,71.5,90,90,99.9,43,85,N/A,78.9,77,30,50
United Kingdom,1999,76.2,90,82,62.3,44.5,85,N/A,84.1,77.8,70,90
United States,1999,75.5,90,76,64.1,61.3,85,N/A,85,78.4,70,70
Uruguay ,1999,68.5,70,41,88.4,70,70,N/A,64.1,73,70,70
Uzbekistan,1999,33.8,30,10,55.9,52.5,40,N/A,25.7,50,30,10
Vanuatu,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Venezuela ,1999,56.1,50,28,75.1,77.1,70,N/A,39.7,65.4,50,50
Vietnam,1999,42.7,10,28,43,81.4,40,N/A,70.8,51,30,30
Yemen,1999,43.3,30,10,74.1,52.5,55,N/A,62.8,45,30,30
Zambia,1999,64.2,50,50,71.9,77.6,55,N/A,60.4,73,70,70
Zimbabwe,1999,47.2,30,30,65.4,64.3,55,N/A,61.8,38.2,30,50
Afghanistan,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,1998,53.9,30,10,82.1,66.5,70,N/A,67.7,59,70,30
Algeria,1998,55.8,50,50,48.6,69.3,70,N/A,60.1,54.2,50,50
Angola,1998,24.9,30,10,59.1,0,40,N/A,0,25,30,30
Argentina,1998,70.9,70,34,77.7,83.3,85,N/A,87.7,60,70,70
Armenia,1998,49.6,50,30,80.9,75.1,55,N/A,0,75,30,50
Australia,1998,75.6,90,86,56.1,54.8,70,N/A,84,79.4,70,90
Austria,1998,65.4,90,76,46.5,1.5,70,N/A,86,78.4,70,70
Azerbaijan,1998,43.1,30,30,70.3,87.9,55,N/A,0,55,30,30
Bahrain,1998,75.6,60,70,99.4,78.1,85,N/A,89.6,78.4,50,70
Bangladesh ,1998,52,30,23,73,93.5,40,N/A,71.1,38,50,50
Barbados,1998,67.9,70,50,60.3,73,70,N/A,85.9,62,70,70
Belarus,1998,38,30,10,43.4,44.5,55,N/A,0,79,30,50
Belgium,1998,64.7,90,68,33.7,16.4,70,N/A,86.1,77.8,70,70
Belize,1998,59.1,50,50,63.7,64.7,70,N/A,80.6,33,70,50
Benin,1998,61.7,50,50,71.8,85.3,70,N/A,69.7,58.8,50,50
Bhutan,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,1998,68.8,70,34,89.1,77.5,55,N/A,78.6,74.8,70,70
Bosnia and Herzegovina,1998,29.4,10,10,78.8,16.7,40,N/A,0,69.4,30,10
Botswana,1998,62.8,70,30,76.6,63,70,N/A,74.8,61,50,70
Brazil,1998,52.3,50,30,88.6,74.4,70,N/A,0,57.8,50,50
Bulgaria,1998,45.7,50,30,53.5,48.8,55,N/A,25.2,49,50,50
Burkina Faso,1998,54.5,50,10,66.3,86.9,55,N/A,66.9,55,70,30
Burma,1998,45.7,30,10,81.9,84.3,40,N/A,55,50,30,30
Burundi,1998,44.7,30,10,43.7,79.6,55,N/A,54.2,70.2,30,30
Cambodia,1998,59.8,30,30,91.6,91.6,55,N/A,72,68,50,50
Cameroon,1998,48,30,25,50.9,92.2,55,N/A,70.1,29,50,30
Canada,1998,68.5,90,90,38.1,29.4,85,N/A,86.9,77,50,70
Cape Verde,1998,48,70,30,63.5,19.8,55,N/A,69,45,70,10
Central African Republic,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chad,1998,46.6,30,10,46.1,90.2,55,N/A,62.6,65.2,30,30
Chile,1998,74.9,90,68,73,88.1,85,N/A,77.1,73,70,50
China,1998,53.1,30,24,70.5,95.9,55,N/A,68.2,34,50,50
Colombia,1998,65.5,50,27,76.2,99.1,70,N/A,66.2,61,70,70
Comoros,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Costa Rica ,1998,65.6,50,50,82.4,87,70,N/A,67.7,63,70,50
C̫te d'Ivoire ,1998,51.3,30,30,51.2,88.5,55,N/A,72.7,34,50,50
Croatia,1998,51.7,30,50,68.3,39.5,55,N/A,61.8,60.8,50,50
Cuba,1998,28.2,10,10,47.6,0,40,N/A,65.4,60.6,10,10
Cyprus,1998,68.2,50,50,71.1,67.7,85,N/A,78.9,71.2,70,70
Czech Republic,1998,68.4,70,54,54.7,39.3,85,N/A,75.9,77.4,70,90
Democratic Republic of Congo,1998,40.6,30,10,54.5,97.2,55,N/A,10,49,30,30
Denmark,1998,67.5,90,93,30.6,0,85,N/A,90.8,77.8,70,70
Djibouti,1998,55.9,50,30,84.7,55.1,55,N/A,77.2,51,50,50
Dominica,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominican Republic,1998,58.1,30,30,85.7,91.8,55,N/A,77.8,52.2,50,50
Ecuador,1998,62.8,50,32,86.9,90.9,55,N/A,63.8,67,70,50
Egypt,1998,55.8,50,28,56.5,76.5,55,N/A,70.6,45.6,50,70
El Salvador ,1998,70.2,50,50,83.5,91.9,70,N/A,75.1,71,70,70
Equatorial Guinea,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eritrea,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,1998,72.5,70,70,72.2,50.1,85,N/A,62.3,83,90,70
Ethiopia,1998,49.2,30,30,48.4,80.6,55,N/A,86.8,52.2,30,30
Fiji,1998,58.2,50,30,70.9,79.6,55,N/A,79.7,58.4,50,50
Finland,1998,63.5,90,91,38.5,0,70,N/A,89.5,73.2,70,50
France,1998,58.9,70,70,38.2,8.6,85,N/A,81.2,77.8,50,50
Gabon,1998,59.2,50,50,49.5,78.6,70,N/A,74.4,20,70,70
Georgia,1998,47.9,30,10,91.7,95.5,55,N/A,0,69,50,30
Germany,1998,64.3,90,83,37.8,26.8,55,N/A,87,79.4,70,50
Ghana,1998,57,50,50,73.3,72.3,55,N/A,51.2,61.6,50,50
Greece,1998,60.6,70,50,53.3,52.5,70,N/A,71.4,77.8,70,30
Guatemala ,1998,65.8,50,50,81.4,97.3,55,N/A,69.6,69,50,70
Guinea,1998,61,30,30,71.4,90.5,55,N/A,82.8,69,50,70
Guinea-Bissau,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guyana,1998,52.7,50,30,58.9,53.7,55,N/A,76.2,51,50,50
Haiti,1998,45.7,10,10,78.5,96.6,40,N/A,54,61.8,30,30
Honduras ,1998,56.2,50,30,64.8,85.1,55,N/A,58.3,63,50,50
Hong Kong,1998,88,90,70,91.9,92.4,100,N/A,78,90,90,90
Hungary ,1998,56.9,70,49,55.7,2.9,70,N/A,63.8,61,70,70
Iceland,1998,71.2,90,90,61.2,42.4,70,N/A,85.8,81.2,70,50
India,1998,49.7,50,26,67.1,89.7,55,N/A,65.6,13.2,50,30
Indonesia,1998,63.4,50,27,80.1,94.3,55,N/A,71.7,73,70,50
Iran,1998,36,10,10,41.5,84.8,55,N/A,48,55,10,10
Iraq,1998,17.2,10,10,10,10.2,55,N/A,0,40,10,10
Ireland,1998,73.7,90,85,51.8,48.3,85,N/A,86.1,77.8,70,70
Israel,1998,68,70,77,52.2,32.3,85,N/A,73.9,81,90,50
Italy,1998,59.1,70,34,43.3,14.5,70,N/A,81.9,77.8,70,70
Jamaica ,1998,67.1,70,50,75.6,73.5,70,N/A,58,67,70,70
Japan,1998,70.2,90,71,53.8,60.9,85,N/A,92.9,79,50,50
Jordan,1998,66.8,70,49,75.9,64.3,70,N/A,75.5,56.2,70,70
Kazakhstan,1998,41.7,30,10,73.3,85.7,55,N/A,0,61,30,30
Kenya,1998,58.4,50,22,72.5,74.2,55,N/A,71.1,60.6,50,70
Kiribati,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kuwait,1998,66.3,90,70,99.9,16.4,85,N/A,78.5,77,30,50
Kyrgyz Republic ,1998,51.8,30,30,72.3,72.6,55,N/A,41.1,65,50,50
Laos,1998,35.2,10,10,32.2,85.2,40,N/A,53.1,66,10,10
Latvia,1998,63.4,50,30,77.5,56.2,70,N/A,66,81,70,70
Lebanon,1998,59,50,10,98,70.8,70,N/A,75.8,36.6,50,70
Lesotho,1998,48.4,50,30,61.8,32,55,N/A,65.9,61,50,30
Liberia,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Libya,1998,32,10,10,33.3,61.1,40,N/A,64.9,49,10,10
Liechtenstein,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1998,59.4,50,30,70.7,59.4,70,N/A,53.9,81,70,50
Luxembourg,1998,72.7,90,90,45.6,37.9,85,N/A,87,79,70,70
Macau,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macedonia,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madagascar,1998,51.8,50,30,74.8,90.7,70,N/A,61.1,29.2,30,30
Malawi,1998,54.1,50,30,70.9,80.2,55,N/A,45.9,54.6,50,50
Malaysia ,1998,68.2,70,53,76.8,85.3,85,N/A,78.1,65,50,50
Maldives,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mali,1998,57.3,50,10,48.8,81.4,70,N/A,70.1,65,70,50
Malta,1998,61.2,70,30,66.6,49.6,70,N/A,74.6,70.4,70,50
Mauritania,1998,43.7,30,30,50.1,82.7,55,N/A,70.7,15,50,10
Mauritius,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mexico,1998,57.9,50,33,73.4,80.9,55,N/A,54.1,74.8,70,30
Micronesia,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moldova,1998,53.5,50,30,57.7,52.7,70,N/A,46.3,75,50,50
Mongolia,1998,57.3,50,50,61.9,51,70,N/A,48.1,85,50,50
Montenegro,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,1998,61.1,50,50,63.6,73.7,70,N/A,77.4,45,70,50
Mozambique ,1998,43,30,10,68,82.1,40,N/A,45.8,31,30,50
Namibia,1998,66.1,70,50,67.1,60.7,70,N/A,76.3,61,70,70
Nepal,1998,53.5,50,10,83,89.6,55,N/A,67.3,66.6,30,30
New Zealand,1998,79.2,90,94,64.6,55.8,85,N/A,84.7,78.6,70,90
Nicaragua ,1998,53.8,30,10,77.8,58.3,55,N/A,69,64,70,50
Niger,1998,47.5,50,10,46,92.9,55,N/A,65.6,48.4,30,30
Nigeria,1998,52.3,50,7,84.5,71.7,55,N/A,53.8,48.4,70,30
North Korea,1998,8.9,10,10,0,0,40,N/A,0,0,10,10
Norway,1998,68,90,89,57.9,20.1,70,N/A,82,83,70,50
Oman,1998,64.9,70,70,74.9,42.2,85,N/A,82.9,79,50,30
Pakistan ,1998,53.2,50,10,67.4,72.6,55,N/A,69,35,70,50
Panama ,1998,72.6,50,50,80.7,87.3,70,N/A,88.1,67.6,70,90
Papua New Guinea,1998,55.2,50,50,81.5,75.1,55,N/A,67.9,37,50,30
Paraguay ,1998,65.2,30,10,89.5,90,70,N/A,68.4,69,90,70
Peru,1998,65,50,30,80.4,91.4,55,N/A,72.6,65.2,70,70
Poland,1998,59.2,70,56,51.6,33.2,70,N/A,59.6,73,70,50
Portugal,1998,65,70,65,59.8,39.3,70,N/A,83.1,77.8,70,50
Qatar,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Republic of Congo ,1998,33.8,10,10,54.5,67.5,55,N/A,62.4,25,10,10
Romania,1998,54.4,30,50,43.9,64.3,55,N/A,52.1,74,70,50
Russia,1998,52.8,50,26,74.2,67.3,55,N/A,24.3,58.6,50,70
Rwanda,1998,39.1,10,10,67.6,88,40,N/A,62.7,34,30,10
Saint Lucia,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint Vincent and the Grenadines,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samoa,1998,49.9,50,70,64.5,17.3,70,N/A,77.4,0,50,50
Ṣo Tom̩ and Pr�_ncipe ,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saudi Arabia,1998,69.3,90,70,99.4,59.2,85,N/A,80.9,59,30,50
Senegal,1998,59.7,50,50,60.6,88.2,55,N/A,68.6,65,50,50
Serbia ,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seychelles,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sierra Leone,1998,47.7,30,10,51.9,93.2,70,N/A,59,35,50,30
Singapore,1998,87,90,88,82.7,92.1,100,N/A,86.9,83,90,70
Slovakia,1998,57.5,50,50,66.4,35.4,70,N/A,72.7,73,50,50
Slovenia,1998,60.7,70,50,51.8,37.3,70,N/A,68.4,59,70,70
Solomon Islands,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,1998,64.3,50,57,61.3,67.3,85,N/A,77.3,61,70,50
South Korea,1998,73.3,90,50,72.4,87.3,70,N/A,80.9,69.2,70,70
Spain,1998,62.6,70,43,46.3,39.3,70,N/A,77.4,77.8,70,70
Sri Lanka,1998,64.6,50,50,72.3,66.3,85,N/A,77,61,50,70
Sudan,1998,38.3,30,30,32.9,82.7,55,N/A,17,37,30,30
Suriname,1998,39.9,50,10,60.6,48.6,55,N/A,29.9,25,50,30
Swaziland,1998,62,70,30,62,73.5,70,N/A,71.5,61,70,50
Sweden,1998,64,70,91,37.3,0,70,N/A,88.3,79.4,70,70
Switzerland,1998,79,90,88,77.4,56.2,70,N/A,88.5,81.6,70,90
Syria,1998,42.2,30,10,38.2,74.1,85,N/A,65.8,36.8,30,10
Taiwan,1998,70.4,90,50,74.4,73.7,85,N/A,83.4,77,50,50
Tajikistan,1998,41.1,30,10,57.5,89.3,55,N/A,0,68.4,30,30
Tanzania,1998,59.6,50,30,77.5,92.1,55,N/A,64.1,67.8,50,50
Thailand ,1998,67.3,70,33,74.2,91.9,70,N/A,74.8,71.6,70,50
The Bahamas,1998,74.5,90,70,97.2,87.4,100,N/A,86.9,19.4,50,70
The Gambia,1998,53.4,70,10,72.8,80.2,55,N/A,74.8,58,30,30
The Netherlands,1998,69.2,90,87,36.2,20.7,70,N/A,80.8,77.8,70,90
The Philippines,1998,62.8,70,27,73,88.9,70,N/A,77.8,59,50,50
Timor-Leste,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Togo,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tonga,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trinidad and Tobago,1998,72,90,50,67.4,78.5,70,N/A,81.8,50.4,90,70
Tunisia,1998,63.9,50,50,69.3,64.3,85,N/A,81.7,35,70,70
Turkey,1998,60.9,70,35,58.4,68.5,70,N/A,31.8,73.8,70,70
Turkmenistan,1998,35,30,10,56.2,84.1,55,N/A,0,40,30,10
Uganda,1998,64.7,70,27,80.9,91.6,85,N/A,82.4,25,70,50
Ukraine,1998,40.4,30,30,64.4,51,55,N/A,0,53,50,30
United Arab Emirates,1998,72.2,90,90,99.9,51,85,N/A,78,76,30,50
United Kingdom,1998,76.5,90,90,60.8,40.3,85,N/A,84.7,77.8,70,90
United States,1998,75.4,90,77,64.3,60.3,85,N/A,84.3,78.4,70,70
Uruguay ,1998,68.6,70,50,88.6,69.3,70,N/A,58.5,71,70,70
Uzbekistan,1998,31.5,30,10,57.4,56.5,40,N/A,0,50,30,10
Vanuatu,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Venezuela ,1998,54,50,25,75.4,67.9,70,N/A,31.1,67,50,50
Vietnam,1998,40.4,10,10,43.4,83,40,N/A,66.2,51,30,30
Yemen,1998,46.1,30,10,81.2,80.3,55,N/A,46,52.6,30,30
Zambia,1998,62.7,50,50,72.2,74.2,55,N/A,53.9,69,70,70
Zimbabwe,1998,44.6,30,30,65.4,55.3,55,N/A,60.4,25,30,50
Afghanistan,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,1997,54.8,50,10,81.5,60.3,70,N/A,62.9,59,70,30
Algeria,1997,54.9,50,50,48.8,65.5,70,N/A,56,54.2,50,50
Angola,1997,24.2,30,10,52.6,0,40,N/A,0,25,30,30
Argentina,1997,73.3,70,52,80.2,90,85,N/A,82,60,70,70
Armenia,1997,46.7,50,30,80.7,41.7,55,N/A,0,83,30,50
Australia,1997,75.5,90,88,56.6,55.1,70,N/A,82.8,77,70,90
Austria,1997,65.2,90,71,46.1,1.2,70,N/A,84.8,63.6,70,90
Azerbaijan,1997,34,30,10,54.6,61.6,55,N/A,0,55,10,30
Bahrain,1997,76.1,60,70,99.5,73.4,100,N/A,85.2,77,50,70
